0	0
1	2
2	3
3	3
4	1
5	0
6	2
7	0
8	4
9	3
10	2
11	0
12	2
13	1
14	1
15	0
16	1
17	6
18	0
19	2
20	2
21	2
22	1
23	4
24	1
25	1
26	1
27	3
28	5
29	3
30	2
31	2
32	2
33	0
34	2
35	1
36	4
37	3
38	2
39	3
40	1
41	2
42	2
43	1
44	3
45	2
46	0
47	0
48	1
49	1
50	0
51	3
52	3
53	4
54	2
55	0
56	1
57	2
58	1
59	2
60	1
61	0
62	1
63	1
64	4
65	3
66	2
67	6
68	0
69	2
70	2
71	2
72	4
73	4
74	0
75	2
76	1
77	1
78	2
79	3
80	1
81	1
82	3
83	2
84	1
85	1
86	0
87	0
88	10
89	11
90	1
91	1
92	1
93	0
94	2
95	2
96	1
97	2
98	4
99	1
100	2
101	2
102	0
103	0
104	0
105	3
106	4
107	0
